	competition	time	infogain	freq_optimal_allele	infogain_asymptote	subload	growth_rate_optimal_allele	growth_rate_population	subload-infogain
0	2A-1	0	0.0	0.6063724983811757	0.7217237723625761	0.0	0.0	0.0	0.0
0	2A-1	4	0.06487963581767173	0.7485256814292713	0.7217237723625761	0.29227660095055175	1.7912224559048806	1.7181533056672427	0.22739696513288002
0	2A-1	8	0.16615534311113517	0.8276778192070602	0.7217237723625761	0.4412138772012453	2.041931518671919	2.0046971996092458	0.2750585340901101
0	2A-1	12	0.2634198271785473	0.8783266248874849	0.7217237723625761	0.5319465505914236	2.1669038042302415	2.144220635882697	0.2685267234128763
0	2A-1	16	0.3801826013336442	0.923666828208856	0.7217237723625761	0.601816276163512	2.1278721970257455	2.1104047656327234	0.2216336748298678
0	2A-1	20	0.46881427065829584	0.95063803243892	0.7217237723625761	0.6495070022360308	2.1576664323374684	2.1457437508193387	0.1806927315777349
0	2A-1	24	0.543622549158263	0.9694493924708176	0.7217237723625761	0.6784932133530237	1.9717401195448403	1.964493566765592	0.13487066419476068
0	2A-1	28	0.6044104770052854	0.982295601070717	0.7217237723625761	0.6960692824803321	2.134668581419072	2.130274564137245	0.09165880547504668
0	2A-1	32	0.6461114397745528	0.9898243142396832	0.7217237723625761	0.7059325282278781	2.0123777195814267	2.0099119081445402	0.059821088453325344
0	2A-1	36	0.6622587184608744	0.992434700377178	0.7217237723625761	0.7129553660396386	2.4041714546912853	2.4024157452383452	0.05069664757876424
0	2A-2	0	0.0	0.3370288314408866	1.5690560815288999	0.0	0.0	0.0	0.0
0	2A-2	4	0.06413181789355604	0.4817097049135012	1.5690560815288999	0.5196444245096128	1.8823297498680616	1.7524186437406584	0.45551260661605675
0	2A-2	8	0.19694382099573188	0.5930317560619014	1.5690560815288999	0.8362105834522007	2.00510171342529	1.9259601736896432	0.6392667624564687
0	2A-2	12	0.4479422319025114	0.7232496767680345	1.5690560815288999	1.111207783813362	2.3106864839448296	2.241937183854539	0.6632655519108506
0	2A-2	16	0.6687324744297338	0.8056036031799877	1.5690560815288999	1.2633804900770391	2.072473290552713	2.0344301139867937	0.5946480156473053
0	2A-2	20	0.8795583147125916	0.8686063768671007	1.5690560815288999	1.3828709394597274	2.1001314075112627	2.0702587951655906	0.5033126247471358
0	2A-2	24	1.0501148793057675	0.9112428589153644	1.5690560815288999	1.4599123320185194	1.9952803742573078	1.9760200261176097	0.4097974527127519
0	2A-2	28	1.234359065128398	0.9500963830974484	1.5690560815288999	1.508935216952799	2.1939455937886945	2.1816898725551246	0.274576151824401
0	2A-2	32	1.3517670175373067	0.9710610514267878	1.5690560815288999	1.5435790842079875	2.00492194032693	1.996260973513133	0.19181206667068085
0	2A-2	36	1.4520887118165262	0.9864163822525596	1.5690560815288999	1.563550675701098	2.2744708093739465	2.269477911500669	0.11146196388457175
0	2A-3	0	0.0	0.1860992484061729	2.4258558660506244	0.0	0.0	0.0	0.0
0	2A-3	4	0.05120245326449771	0.2964026319690144	2.4258558660506244	0.6339739867879874	2.1760457326610267	2.01755223596403	0.5827715335234898
0	2A-3	8	0.15654018063005531	0.385948778141468	2.4258558660506244	1.0292824544014199	1.977917574128402	1.879090457225044	0.8727422737713646
0	2A-3	12	0.3827289285243683	0.5098568323214152	2.4258558660506244	1.4319976408196453	2.2528703078590184	2.152191511254462	1.049268712295277
0	2A-3	16	0.7155903863226382	0.6395870736086177	2.4258558660506244	1.760412825946629	2.2119520541865194	2.1298482579047735	1.044822439623991
0	2A-3	20	1.0789396580474722	0.7490720330846589	2.4258558660506244	1.9988852076557908	2.1694278452085385	2.109809749781248	0.9199455496083186
0	2A-3	24	1.482578699744082	0.8469398420274636	2.4258558660506244	2.152816306442194	2.058787898866852	2.0203051241702514	0.6702376066981119
0	2A-3	28	1.7371271538890052	0.8987037458172249	2.4258558660506244	2.253494334550002	2.1382786827514133	2.1131091757244613	0.5163671806609966
0	2A-3	32	1.9765508976273438	0.940960077192136	2.4258558660506244	2.3217834559500954	2.02490379150512	2.0078315111550964	0.34523255832275157
0	2A-3	36	2.1688773703157347	0.9701786166462144	2.4258558660506244	2.3638791527506324	2.300203908065461	2.2896799838653266	0.19500178243489774
0	2B-1	0	0.0	0.6293277760131392	0.6681164757783156	0.0	0.0	0.0	0.0
0	2B-1	4	0.1690394409707921	0.8478065849133959	0.6681164757783156	0.43094077547585385	1.904535162865619	1.7967999689966556	0.26190133450506176
0	2B-1	8	0.39989003491281727	0.9441103318926852	0.6681164757783156	0.5975280029258787	2.004381589003444	1.962734782140938	0.19763796801306144
0	2B-1	12	0.5743311655176413	0.986333279783352	0.6681164757783156	0.6580975037909091	2.2790121111818054	2.2638697359655477	0.08376633827326785
0	2B-1	16	0.6144716339050378	0.9931845621730078	0.6681164757783156	0.6708307302597287	2.0470961535081735	2.0439128468909686	0.05635909635469094
0	2B-1	20	0.6464489556419254	0.9977059969737152	0.6681164757783156	0.6762492064501906	2.1403992823451348	2.1390446632975193	0.029800250808265205
0	2B-1	24	0.6550470190430506	0.9987311695868624	0.6681164757783156	0.6773287234397021	2.064988393676255	2.0647185144288773	0.022281704396651447
0	2B-1	28	0.6439509847660109	0.9973900229585592	0.6681164757783156	0.6776905354699334	2.1440028998528016	2.1439124468452437	0.03373955070392254
0	2B-1	32	0.657725984291298	0.99902750313746	0.6681164757783156	0.6778246635122827	2.0581604189887246	2.0581268869781373	0.020098679220984628
0	2B-1	36	0.6593887048703502	0.9992047400359658	0.6681164757783156	0.6777734168269127	2.2545944527598714	2.254607264431214	0.01838471195656255
0	2B-2	0	0.0	0.346775385752564	1.5279265957306367	0.0	0.0	0.0	0.0
0	2B-2	4	0.24197441672190612	0.6316268845358509	1.5279265957306367	0.8569390098933507	1.9416692333600887	1.727434480886751	0.6149645931714446
0	2B-2	8	0.8101784418041214	0.8584080321038147	1.5279265957306367	1.3094973833378143	2.03417916499249	1.921039571631374	0.49931894153369294
0	2B-2	12	1.2802757829208002	0.9655607231756844	1.5279265957306367	1.475989370319529	2.2559044817490403	2.2142814850036117	0.1957135873987288
0	2B-2	16	1.4115707374006166	0.9863829151639434	1.5279265957306367	1.5089757613437937	2.075211466916927	2.0669648691608606	0.09740502394317718
0	2B-2	20	1.4957392411070434	0.9970018761265956	1.5279265957306367	1.5220573899717733	2.1747481067959185	2.1714776996389236	0.02631814886472994
0	2B-2	24	1.5059352379653448	0.9980656402768316	1.5279265957306367	1.524552433497452	2.0336706841201013	2.0330469232386816	0.018617195532107278
0	2B-2	28	1.5188209063021967	0.9992894217963982	1.5279265957306367	1.5259801923938552	2.154883759823552	2.154526820099451	0.007159286091658501
0	2B-2	32	1.5003391807909154	0.9974904089192548	1.5279265957306367	1.526486166969776	2.0282302954241618	2.0281038017801816	0.026146986178860576
0	2B-2	36	1.4938044414986198	0.9967925180353364	1.5279265957306367	1.5262441124282207	2.221697703181254	2.2217582168166428	0.03243967092960087
0	2B-3	0	0.0	0.1900815880997413	2.3953093001109504	0.0	0.0	0.0	0.0
0	2B-3	4	0.2638509264169275	0.4562928623831751	2.3953093001109504	1.2766165241098948	2.0393136631768143	1.7201595321493406	1.0127655976929673
0	2B-3	8	1.0019892427601782	0.7336044124159589	2.3953093001109504	1.984146873556087	1.9716959041822517	1.7948133168207037	0.9821576307959088
0	2B-3	12	1.7938044479689457	0.9142380843108404	2.3953093001109504	2.280925466383154	2.1809909531733775	2.1067963049666107	0.4871210184142085
0	2B-3	16	2.178968412749061	0.9756218955329078	2.3953093001109504	2.372492036854588	2.191930351070463	2.1690387084526046	0.19352362410552715
0	2B-3	20	2.3107949993298527	0.9919376645742924	2.3953093001109504	2.4003326065747874	2.132364733958684	2.125404591528634	0.08953760724493476
0	2B-3	24	2.3472992819952543	0.9957980040519246	2.3953093001109504	2.4071139494952503	1.970370140447495	1.9686748047173792	0.05981466749999598
0	2B-3	28	2.3818393055970803	0.999002398644436	2.3953093001109504	2.4095042913517135	2.186952527064978	2.1863549416008623	0.027664985754633165
0	2B-3	32	2.3624760769983597	0.9972756484888	2.3953093001109504	2.410118504039816	2.081670524645423	2.0815169714733974	0.04764242704145616
0	2B-3	36	2.373655732598856	0.9982993197278912	2.3953093001109504	2.4103726929798297	2.2191708004033184	2.219107253168315	0.03671696038097361
0	2C-1	0	0.0	0.7495529697035376	0.4158976601720808	0.0	0.0	0.0	0.0
0	2C-1	4	0.1791540363652885	0.938228734006588	0.4158976601720808	0.3419713229102932	1.9720431119760498	1.8865502812484765	0.16281728654500469
0	2C-1	8	0.34945613155427663	0.9897088332514592	0.4158976601720808	0.4219365620211857	1.9679510086934262	1.947959698915703	0.07248043046690905
0	2C-1	12	0.402540852683132	0.9985644502043663	0.4158976601720808	0.43340489821193806	2.4714341406121947	2.4685670565645066	0.03086404552880606
0	2C-1	16	0.4014916734956162	0.9984298515599268	0.4158976601720808	0.4349116155419068	2.059997128580106	2.059620449247614	0.03341994204629062
0	2C-1	20	0.410460842594628	0.99949749243751	0.4158976601720808	0.4353499844320634	2.1431355403703374	2.1430259481477982	0.024889141837435402
0	2C-1	24	0.40478867445616395	0.9988450082817734	0.4158976601720808	0.43537788240047703	2.0537916168317016	2.0537846423395982	0.03058920794431308
0	2C-1	28	0.41316003669397905	0.9997709712838406	0.4158976601720808	0.4351708773611094	2.1430107048650795	2.1430624561249214	0.022010840667130327
0	2C-1	32	0.4008833395306146	0.9983507990094452	0.4158976601720808	0.4352444679856795	2.067549511811086	2.0675311141549435	0.03436112845506489
0	2C-1	36	0.3949727413354498	0.9975471032822824	0.4158976601720808	0.4350654203923554	2.210927227655775	2.210971989554106	0.04009267905690561
0	2C-2	0	0.0	0.5218417001911079	0.9383158608601256	0.0	0.0	0.0	0.0
0	2C-2	4	0.3854668862495394	0.8654370568694532	0.9383158608601256	0.7230800799774313	1.8994468350520322	1.7186768150576743	0.3376131937278919
0	2C-2	8	0.78396103652077	0.9771348384167734	0.9383158608601256	0.9073857579417135	2.109311066254455	2.0632346467633846	0.12342472142094352
0	2C-2	12	0.9070471536818545	0.9967333831630816	0.9383158608601256	0.9341201523617793	2.403930263634828	2.3972466650298117	0.027072998679924742
0	2C-2	16	0.926544890001093	0.9989500816930816	0.9383158608601256	0.9374004557891995	2.0980128157896476	2.0971927399327925	0.010855565788106536
0	2C-2	20	0.9281303372054691	0.9991104827040346	0.9383158608601256	0.9386481975778826	2.2187124841315153	2.2184005486843446	0.010517860372413534
0	2C-2	24	0.9232953763451828	0.9986100242620444	0.9383158608601256	0.9385863969040935	2.014279082954457	2.014294533122904	0.01529102055891074
0	2C-2	28	0.9358117610900548	0.9998177250501256	0.9383158608601256	0.9386276947770726	2.1704682580144663	2.1704579335462215	0.002815933687017824
0	2C-2	32	0.8972323583988498	0.995487966146522	0.9383158608601256	0.9387079657639683	2.0256208627162167	2.0256007949694927	0.04147560736511846
0	2C-2	36	0.9187038842681471	0.9981070111026	0.9383158608601256	0.9380272324297652	2.210866086704933	2.2110362700384836	0.01932334816161807
0	2C-3	0	0.0	0.3063444901983373	1.7067731911321602	0.0	0.0	0.0	0.0
0	2C-3	4	0.4764219623523653	0.7019347140543766	1.7067731911321602	1.2133324934753036	1.9533180814337967	1.6499849580649708	0.7369105311229383
0	2C-3	8	1.3755337719167924	0.9525811519483106	1.7067731911321602	1.6624165208213642	2.1560213063707687	2.0437502995342536	0.28688274890457177
0	2C-3	12	1.636275382119774	0.9927504245029208	1.7067731911321602	1.7159583369953895	2.3056891858309982	2.292303731787492	0.0796829548756155
0	2C-3	16	1.6735094849065064	0.9969725141274562	1.7067731911321602	1.7238360901510177	1.9733040380479974	1.9713345997590903	0.05032660524451127
0	2C-3	20	1.6953298795815217	0.999101920508451	1.7067731911321602	1.7260387912248145	2.132118909306257	2.131568234037808	0.030708911643292813
0	2C-3	24	1.6963671383806251	0.9991931116048236	1.7067731911321602	1.7264293210301425	2.1647988457441194	2.1647012132927874	0.03006218264951732
0	2C-3	28	1.7030454419203467	0.99974383641963	1.7067731911321602	1.7262461059565393	2.0737186706355897	2.0737644744039905	0.023200664036192586
0	2C-3	32	1.70001175768186	0.9995026472003852	1.7067731911321602	1.7258658294757012	1.944091666027862	1.9441867351480715	0.025854071793841138
0	2C-3	36	1.6576835399753878	0.995250812679001	1.7067731911321602	1.7252650180081908	2.192521837380019	2.1926720402468964	0.06758147803280301
